keShi,jianJie,mingCheng
普外科,"
	腰或腰骶部疼痛，反复发作，疼痛可随气候变化或劳累程度而变化，时轻时重，缠绵不愈。疼痛的性质多为，可局限于一个部位，也可散布整个背部。
	长期体位不正或弯腰下工作，或经常腰部持续负重，可引起腰部筋肉的慢性积累性损伤。 腰部急性损伤后，治疗不当或延误治疗，迁延日久，可造成腰部慢性损伤。 腰骶部有先天性结构异常，使肌肉的起止点随之发生异常或该部活动不平衡，而易致腰部慢性损伤。",腰部钝痛
普外科,"
	获得性多发生于年老者。大多数病人没有特殊的症状，仅于腰部见一缓慢增大的肿块，肿块质地软而且易于还纳，站立时肿块明显，俯卧位时消失;局部有或牵拉感。",腰部缓慢增大的软肿块
口腔科,"
	牙齿疼痛是指牙齿因各种原因引起的疼痛而言，为口腔疾患中常见的症状之一，可见于西医学的龋齿、牙髓炎、根尖周围炎和牙本质过敏等。遇冷、热、酸、甜等刺激时牙齿疼痛发作或加重表现为，红肿,，继续发展侵犯硬组织，产生牙周炎症。",牙龈痛
骨外科,"
	骨折根据骨折线的形态分为：裂缝骨折、骨膜下骨折、青枝骨折、撕裂骨折、横形骨折、斜形骨折、螺旋形骨折、粉碎性骨折(骨折片碎成三块以上者，称粉碎骨折)、嵌插骨折、凹陷性骨折、压缩性骨折。压缩性骨折属于骨折的一种。
	 ",压缩型骨折
皮肤科,"
	斑点长在眼角太阳穴附近的人有一个共同点，她们都很容易产生的情绪。因为太阳穴附近是由中医经络中所谓的胆经所支配，而胆经是一条排解积虑的通道。如果这里长斑，证明胆经有堵塞，而也正是由于她们，容易抑郁，压力难以排解而造成的。眼角长斑的原因，多是由女性荷尔蒙失调、子宫疾病、流产次数过多或吃避孕药所引起。 ",眼角长斑
心理科,"
	望神，应重点观察人的精神、意识、面目表情、形体动作、反应能力等，而眼神的变化则应是望神中最为重要的，中医常讲“神藏于心，外候在目”。可见眼神的变化是神的外在表现，所以应重点观察眼神。另外在望神时，还应注意区分得神、少神、失神和假神等不同情况。",眼神异常
传染科,"
	“三怕”(水声、光、风)现象是狂犬病的特征性症状。
	 ",“三怕”(水声、光、风)现象
其他综合,"
	为脑干反射之一，它包括水平头眼反射和垂直头眼反射，做水平头眼反射时应快速地急剧地将头转向左侧及右侧90°，做垂直头眼反射时应快速地急剧地将头转向胸前。正常反应是眼睛向头转动的反方向转动。若有颈椎外伤則不可做此反射。",眼-头反射消失
口腔科,"
	即是由于某些疾病引起的，造成牙齿生长成栓状的形状的临床症状。栓状齿是小儿的临床表现之一。
	色素失调症(incontinentia pigmenti)又称色素失禁症、Bloch-Sulzberger综合征、Bloch-Siemens综合征、真皮变性黑变病(melanosis coria degenerarativa)。是一种少见的复合性遗传综合征，有特征性皮肤改变，可伴眼、骨骼和中枢神经系统畸形和异常。",栓状齿
普外科,"
	伤口或疮口表面上由血小板和纤维蛋白凝结而成的块状物，伤口或疮口痊愈后自行脱落，血液、渗出物等凝结成的东西便形成痂;是一种伤口或疮口表面上所结的硬状块物。是指在皮肤浅表层的一种疤痕，其外表稍异于正常皮肤，为皮肤感染而形成。",伤口结疤
眼科,"
	，通常多在眶缘摸到质地坚硬的肿块，眼睑且呈淡绿色，肿块发展异常迅速，短期内可填满眼眶，里面累及鼻窦及颅脑。耳前及颌下淋巴结常有肿大。肿块皮肤表面也有绿色的色素沉着。病程后期累及全部重要脏器及四肢骨骼;晚期常因感染衰竭而死亡。",眼睑肿胀且呈淡绿色
眼科,"
	角膜反射检查方法：患者向一侧注视，检查者用柔然的捻成细束的棉絮毛轻触其对侧角膜的外下方，由外向内，不让患者看见。反射作用为引起双侧眼轮匝肌收缩，出现双侧瞬目动作。同侧称为直接角膜反射，对侧称为间接角膜反射。
	反射弧：
	角膜-三叉神经眼支-脑桥中部三叉神经感觉核-网状结构-丘脑-大脑皮层-皮层延髓束-双侧面神经核-双侧面神经-双侧眼轮匝肌。
	角膜反射消失说明形成角膜的神经或者大脑受到损坏或者已经病变。",眼角膜反射消失
神经内科,"
	由于神经中枢病损导致抽象信号思维障碍，而丧失口语、文字的表达和领悟能力的临床症候群，失语症不包括由于意识障碍和普通的智力减退造成的语言症状，也不包括听觉、视觉、书写、发音等感觉和运动器官损害引起的语言、阅读和书写障碍。因先天或幼年疾病引致学习困难，造成的语言机能缺陷也不属失语症范畴。",言语功能的部分丧失
口腔科,"
	病变从牙槽突开始破坏骨质，严重者牙齿完全埋没于软组织中，牙齿松动、脱落，等呈现‘漂浮’征。有的广泛，边缘模糊不清，类似恶性肿瘤的改变。",牙槽突型
普外科,"
	表现为。肿瘤，病程较长，无自觉症状，往往以无痛性肿块就诊。肿瘤界限清楚，与周围组织无粘连，活动。多呈圆形或椭圆形，质地较软。",腮腺无痛性肿块
传染科,"
	腮腺区前界为下颌支前缘，后界为胸锁乳突肌上部后突及外耳道，上界为颧弓下缘，下界平下颌角或低于下颌角 l－2cm。引起的原因很多，可以是腮腺本身的疾病，也可以是全身性疾病的局部体征，还可以是非腮腺的组织如嚼肌的疾病。",腮腺区肿大
神经内科,"
	“三偏”症：属于脑梗死的临床表现，大脑中动脉主干闭塞会引起“三偏”症状；病灶对侧中枢性面舌瘫及偏瘫、偏身感觉障碍和偏盲或象限盲。简单是说是：偏盲，偏摊，偏麻。",“三偏”症
传染科,"
	常是疾病的首发体征，持续7—10天，常一侧先肿2—3天，对侧腮腺亦出现肿大，有时仅为单侧，或腮腺肿大同时有，甚或仅有颌下腺肿大而无腮腺肿大。张口、咀嚼特别是吃酸性食物时疼痛加重。",腮腺肿大
遗传病科,"
	SM累积量为正常4～6倍，酶活性正常。尼曼-匹克氏病(Niemaoh-Pick disease简称NPD)又称鞘磷脂沉积病(sphingomyelin lipidosis)，属先天性糖脂代谢性疾病。表现为血清粘蛋白(SM)累积量升高。为神经鞘磷脂酶(sphingomyelinase)缺乏致神经鞘磷脂代谢障碍。导致后者蓄积在单核巨噬细胞系统内，出现肝、脾肿大，中枢神经系统退行性变。",SM累积量升高
呼吸内科,"
	患者上，吸气时由于呼吸肌运动而使胸内负压极度增大，表现为胸骨上窝、锁骨上窝和肋间隙明显凹陷，称之为。
	“三凹症”是指呼吸极度困难，辅助呼吸肌如胸部及腹部的肌肉都强力运动以辅助呼吸活动，此时虽企图以扩张胸廓来增加吸气量，但因肺部气体吸入困难，不能扩张，致使在吸气时可见胸骨上窝、两侧锁骨上窝以及下部肋间隙均显凹陷，故称“三凹症”。此时亦可伴有干咳及高调吸气性喉鸣。常见于喉部、气管、大支气管的狭窄和阻塞。当伴随出现发绀、双肺湿罗音和心率加快时，提示左心衰竭。",三凹征
传染科,"
	腮腺区前界为下颌支前缘，后界为胸锁乳突肌上部后突及外耳道，上界为颧弓下缘，下界平下颌角或低于下颌角 l-2cm。引起的原因很多，可以是腮腺本身的疾病，也可以是全身性疾病的局部体征，还可以是非腮腺的组织如嚼肌的疾病。",腮腺肿胀
感染科,"
	按常规测量发热病人的体温，并标记在体温单上，所形成的不同形状的体温曲线，即热型。热型是致病因子与机体相互作用的表现形式之一，许多发热性疾病都具有比较特异的热型，因此典型的热型对疾病诊断很有价值。病前健康状况较差，多数伴有影响机体防御功能的原发病，属者较多。、、大汗，且双峰热型比较多见，偶有呈者，这一现象在其他病菌所致的败血症少见，值得重视。",三峰热型
神经内科,"
	海绵窦的临床表现可有三叉神经的第一或第二支分布区疼痛。海绵窦是颅内一个比较特殊复杂的解剖区域，包含重要的动脉和颅神经，手术难度较大。广义上讲，凡是侵及海绵窦的脑膜瘤均属此范畴。如蝶骨嵴内侧脑膜瘤、鞍脑膜瘤、中颅凹底脑膜瘤等。该病的发生与一定的内环境改变和基因变异有关，并非单一因素造成，可能与颅脑外伤，放射性照射、病毒感染以及合并双侧听等因素有关。",三叉神经一二支分布区域疼痛
神经内科,"
	基底动脉下部分支综合征：是由于基底动脉下段或椎动脉上段的小分支闭塞，导致下丘脑、脑干被盖部梗死。表现为、、、侧视、核间性、、小脑性、、、眼部烧灼感及。是腔隙性的症状体征之一。高血压、动脉粥样硬化、糖尿病等是该病的主要诱发因素。",三叉神经分布区麻木感
心胸外科,"
	是由于瓣膜或瓣下支持组织的病变，引起房室瓣(二尖瓣和三尖瓣)在收缩期脱入心房，或半月瓣(主动脉瓣和肺动脉瓣)在舒张期脱入心室流出道的一种临床现象。可分为原发性和继发性2种，前者目前原因不明，后者可由多种病因所致。本病可发生于任何一个瓣膜，其中以为最常见，其次为主动脉瓣脱垂，而三尖瓣和肺动脉瓣脱垂则较为少见。",三尖瓣脱垂
口腔科,"
	多数成年人都患有，大多数牙周病进展缓慢，始发时多为牙龈炎，除偶有外并无多少自觉症状，所以不引人注意。而牙龈炎发展到一定程度即为牙周炎，此时可出现严重口腔异味，牙周反复，牙齿松动，牙缝越来越大，越来越稀疏，严重者牙齿脱落。患者若在此阶段就诊，医生可以控制炎症恶化，但已破坏的牙周组织(包括)是不可逆的，很难完全恢复。",牙龈萎缩
普外科,"
	Branham-Nicoladoni征(压迫瘘口试验)是先天性动静脉瘘的一个症状。循环系统胚胎发育的任何一期或发育全过程中，出现发育停滞或异常均可导致血管畸变，其中网状期的发育停滞较容易导致CAVF，扩张的血管沟通、聚集并趋于融合，组织学上可看到血管沟通往往极其细小，称为微小动静脉瘘;血管基干形成期的发育异常使异常血管腔道持续存在，形成较大的动静脉瘘。",压迫瘘口试验
眼科,"
	kanagener综合征(kartagener’s syndrome)又称-鼻旁窦炎-内脏转位综合征，1902年stewat首先报道。支气管扩张-鼻旁窦炎-内脏转位综合征可以引起。眼结膜黑变是黑色素沉着症的一种。原发性获得性黑色素沉着症是一种成人眼结膜黑色素细胞增生病变。多为单侧结膜患病,表现为弥漫性扁平的棕褐色色素沉着,可随结膜移动,临床过程漫长而多变：长期静止甚或偶发性自行消退,或多年甚至10多年保持良性过程,但向各方缓慢扩展。",眼结膜黑变
中医综合,"
	眼部分泌物，也就是老百姓常说的“眼屎”，与不少眼科疾病关系密切。因此，通过对眼分泌物的观察，就可以帮助人们早期发现某些眼科疾病。这一点，对新生儿、儿童及戴隐形眼镜的人来说尤为重要。
	当眼睛发生某些疾病时，眼分泌物就会发生数量或者性状的改变。通常人们观察到分泌物明显增多的同时，还会感觉一系列不舒服，如晨起睁眼困难、视物模糊等。这时候，分泌物的成分除了上述内容，会含有较多脱落的组织细胞、炎性细胞、血管渗出物、病原体等。",眼屎多
眼科,"
	眼痛常为眼病患者的一个主诉症状。眼球及其附属器的许多病变都可以引起明显的眼痛。由于疾病的不同，其疼痛的部位和性质也各异，因此必须结合其他体征才能进一步确诊。
	眼球及眼附属器的感觉神经除下睑部分组织由三叉神经第二支支配外，其余组织均由三叉神经第一支支配。眼球是受睫状神经支配的，分为睫状长神经和睫状短神经。前者为三叉神经第一支眼神经的鼻睫状神经的分支，进人眼球内。睫状短神经发自睫状神经节，其节前纤维由3个根组成，其长根为感觉根，由鼻睫状神经发出。另两根为运动根及交感根。其节后纤维即组成睫状短神经。睫状长、短神经进人睫状体组成神经丛，由此发出分支支配虹膜。睫状体、角膜、巩膜的知觉。当这些解剖部位受上述病因的刺激时，即会感到眼痛。",眼痛
心内科,"
	三尖瓣向右心室移位，主要是隔瓣叶和后瓣叶下移，常附着于近心尖的右心室壁而非三尖瓣的纤维环部位，前瓣叶的位置多正常，因而右心室被分为两个腔，畸形瓣膜以上的心室腔壁薄，与右心房连成一大心腔，是为""心房化的右心室""，其功能与右心房相同;畸形瓣膜以下的心腔包括心尖和流出道为""功能性右心室""，起平常右心室相同的作用，但心腔相对地较小。常伴有心、、、或闭锁。可发生右心房压增高，此时如有心房间隔缺损或卵圆孔开放，则可导致右至左分流而出现。",三尖瓣下移
心内科,"
	三尖瓣狭窄的最常见病因仍为风湿热，常伴关闭不全、二尖瓣和主动脉瓣损害。其他少见病因尚有类癌瘤、心内膜弹力纤维增生症及右心房肿瘤等。正常三尖瓣口面积>7.0cm[sup]2[/sup]，<1.5cm[sup]2[/sup]时，出现血流动力学异常，产生舒张期三尖瓣跨瓣压差，右心房压和体循环静脉压增高、淤血，同时右室排血量减少。二尖瓣狭窄的肺部表现可因伴有明显的三尖瓣狭窄而减轻。",三尖瓣狭窄
康复科,"
	：正位于下胫腓韧带联合水平的腓骨，可伴有内踝或三角韧带损伤；胫骨后缘可以完整或显示由后胫腓韧带撕脱的三角骨块。",三角韧带损伤
皮肤科,"
	（pruritus）是一种可经引起立即进行搔抓愿望的主观感觉。是最常见的共同症状。由于各种皮扶病的不同和个体第三度的不同，瘙痒的严重和度可轻可重，可边发性，音断性和持续性；也可是局限性，泛发性或全身性。瘙痒轻者可经搔抓后即可减轻可减失。瘙痒重者则奇痒难忍不停地搔抓直至表皮被拆破出血发生首长痛时才可减轻，由于不断地搔抓可使患部皮肤变厚，变厚的皮损又加重了瘙痒，形成愈痒愈抓，愈抓愈痒的恶性循环。",瘙痒
心内科,"
	发作、皮肤皮脂腺瘤、智力障碍为癫痫。癫痫是大脑神经元突发性异常放电，导致短暂的大脑功能障碍的一种慢性疾病。而癫痫发作是指脑神经元异常和过度超同步化放电所造成的临床现象。其特征是突然和一过性症状，由于异常放电的神经元在大脑中的部位不同，而有多种多样的表现。可以是运动感觉神经或自主神经的伴有或不伴有意识或警觉程度的变化。",三联征
心理科,"
	所谓丧偶综合征是指人突然失去休戚与共、风雨同舟的终生伴侣所产生的适应。由于来自丧失了自己最知心、最体己的亲人，孤苦伶仃地去承受上有老、下有小的生活负担的挑战，其心理反应往往出乎意料的强烈。轻的可表现心境，表情悲伤，持续时间短暂;重的可表现悲恸欲绝，呼天抢地，痛不欲生或呆若木鸡，神思恍惚等症状。",丧偶后适应性障碍
普外科,"
	 额缝闭合、前额变小、而头颅中后部过度生长，称。三角头畸形是小儿综合征的脸部症状。",三角头畸形
普外科,"
	声带小结的表现之一是声音变粗。",嗓音粗
理疗科,"
	三角肌是肩部的一块肌肉。它由3部分组成—前部、中部、后部。这块肌肉主要是抬举上臂。三角肌损伤会引起三角肌的疼痛。",三角肌疼痛
中医综合,"
	",散脉
普外科,"
	属于的轻微症状。只有疝区的疼痛或坠胀感，且常因腹内压增加而加重。半月线疝是一种，较罕见，其发病年龄多在50岁左右左右之比约为1∶1.6。嵌顿和绞窄的发生率可达21%，故应及早手术治疗。如果病人疝区的疼痛、腹壁包块能被证实，尤其按压疝块能还纳、并能触及疝环孔边缘，而且增加腹内压的手法可使疝区疼痛加重时，则诊断几乎没有什么困难。",疝区的疼痛或坠胀感
精神科,"
	严重的精神也被称为PTSD，它除了上述症状之外，还具有典型的症状，如伤害事件的记忆或画面不断地出现在梦境中，或即使在清醒状态中也不断地在脑海中重现，因而使受害者经常处于惊恐和痛苦之中不可自拔，好像创伤事件就发生在刚才。这种现象被称为“”。",闪回
神经内科,"
	有突发性的阵痛，表现为面部、口腔及下颌部位的某一点，突然发生剧烈性的闪电式短暂的抽痛。1756年由法国Nicolas Andri首先报道。由于发作时多数伴有面肌，故称之为“痛性抽搐”。系指局限在三叉神经支配区内的一种反复发作的短暂性阵发性。可分为原发性、继发性两种。",闪电样痛
耳鼻喉科,"
	的黏液或化脓性囊肿都可以与筛窦沟通，形成，当分泌物经筛窦从鼻腔排出，囊肿可缩小甚至消失，症状可减轻，有和鼻腔引流手术一样的效果。",筛窦泪囊瘘
神经内科,"
	笑是人类表达喜悦心情的方式，然而并不是所有的笑都意味着心情愉快，在笑容背后有时也隐藏着病情。表现为特殊的憨笑。不能自制的，无需刺激，可在任何情况下出现，没有感情色彩，由于的影响，病人虽然经常乐呵呵的，但面部表情却给人呆傻的感觉。",傻笑
中医综合,"
	是指脉道涩难疏通，细迟短散何成形，来往湿滞似刮竹，病蚕食叶慢又难，思虚交愁里积久，不但损血又伤精。",涩脉
皮肤科,"
	正常皮肤的颜色主要由皮肤内黑色素的含量多少来决定。其次如类黑素、胡萝卜、素以及皮肤血液内氧化与还原血红蛋白的含量有关。皮肤的表现是皮肤颜色的异常。除与上述因素的增加或减少有关外，还可由药物（阿的平、氯苯吩嗪）、金属（如砷、鈊）、异物（如染料、粉尘、文身）、代谢产物（如黄疽）及理改变所致。",色素异常
皮肤科,"
	 由色素减少或增多引起的皮肤颜色改变，称为色素性。色素减少的疾病是由黑色素缺乏所致，全身或局部皮肤变白，如;由色素增多或增多引起的称黑色素疾病，如或。",色素性皮损
其他综合,"
	表现为的患者是由于病人的脂肪组织消失、特殊肥胖及正常脂肪组织三者异常而出现的症状。",上半身肥胖型
其他综合,"
	上半身代偿性多汗症(compensatory hyperhidrosis)是由于某部位的汗腺受某种因素失治后，另一部位的汗腺发生代偿，以保持体温。由于某部位的汗腺受某种因素失治后，另一部位的汗腺发生代偿，以保持体温。有些继发于糖尿病性周围神经病的下半身无汗或少汗症出现代偿性多汗症。上半身(躯干为主)热刺激性多汗症，交感神经切除后，在颈部和胸交感神经切除后发生病理性、味觉性多汗症。",上半身代偿性多汗症
普外科,"
	，其实是和人体的皮肤结构以及组织的再生能力有关的。原来，人体皮肤分表皮和真皮两层，真皮下面是皮下组织。除此之外，皮肤还有毛发、皮脂腺、汗腺、指(趾)甲等附属物。而不同的皮肤结构对伤口的感受也不一样。因为人体各种组织的再生能力不一样，神经组织是再生能力较低的，一般情况下神经快长好的时候，也是伤口快长好的时候。神经末梢长进结缔组织的时候，伤口就可以感觉到痒和痛了。",伤口愈合发痒
普外科,"
	患有的患者动脉和静脉的交通可分直接和间接两种，邻近动的静脉同时受伤时，创缘彼此直接对合，在数天之内就可直接交通，称为直接动静脉瘘，如动脉静脉的创口不能直接对合，而在二者之间有血肿存在，以后血肿机化，形成贯通于动脉和静脉之间的囊或管，称间接瘘。瘘的近端动脉进行性扩张和伸长；动脉壁初期有些增厚，后期发生退行性改变，平滑肌纤维萎缩，弹力纤维减少，管壁变薄，以及粥样斑块形成，如瘘孔大，邻近瘘口主干动脉可膨胀而形成，远端的动脉因血流量减少而缩小。静脉逐渐扩张，远端可达最后一个瓣膜，近端可达腔静脉，如瘘孔大，静脉内压力骤增，外伤几星期后就可见到局部由于静脉膨胀而形成一个搏动性肿块。",伤口形成一个搏动性肿块
感染科,"
	是病原微生物通过伤口侵入机体后，在体内生长、繁殖，致机体的正常功能、代谢、组织结构受到破坏，引起组织损伤性病变的病理反应。机体受到病原体侵袭后，能动员各种防御功能以消除病原体及其毒性产物，以恢复机体的相对稳定性。病原体侵入机体后是否能引起感染，主要取决于病原体的毒力和机体的抵抗力。",伤口感染
传染科,"
	面容：，，呈无欲状态。
	",伤寒面容
普外科,"
	在美国，色素性结石约占20%~30%；而在台湾大多数则为此类结石，约估60%以上，但近年来慢性肝病的控制，寄生虫症减少，及卫生环境的改善，此色素性结石有明显递减趋势。色素性的形成与非溶解性浓度的胆红素，胆盐减少，胆道感染，胆囊弛张，原发性肝病，溶血性疾病及高龄化皆有相当的密切关系。",色素性胆结石
其他综合,"
	皮肤色素脱失是白癫风一种原发性的病症，是由于皮肤和毛囊的黑色素细胞内酪氨酶系统的功能减退或丧失而引起。分型：寻常型和节段型，寻常型又分为：局限性、散发性、泛发性、肢端性。分类：完全性白斑和不完全性白斑。分期：活动期、稳定期。",色素脱失
精神科,"
	是一种意志行为障碍，见于。有时病人机械地执行外界任何要求(被动服从)，任人摆布自己的姿势，如让病人将一只腿抬高，病人可在一个时间内保持所给予的姿势不动(蜡样屈曲)，或机械地重复周围人的言语或行为(模仿语言、模仿动作)。",机械地重复周围人的言语或行为
消化内科,"
	饥饿时上是十二指肠的一种临床表现。疼痛出现于腹上部的中央，正好在脐上或就在中线的右边。典型的十二指肠常在餐后2—3小时发生(空腹痛)，持续不减，直至进食或服制酸剂后缓。",饥饿时上腹痛
其他综合,"
	以入夜或至暗处视物不明，白昼或光处视物如常，眼外观端好为主要表现的眼病。俗称鸡盲、。",“鸡盲”或“雀盲”
整形美容科,"
	：弥漫性患者，入院时检查脸部缺乏表情，上唇变薄但尚可闭口。",上唇变薄
骨外科,"
	患者可发展为短肢畸形，身材矮小，一般上臂明显短于前臂，小腿明显短于大腿，躯干接近正常人。",上臂短于前臂，小腿短于大腿
其他综合,"
	上半身，下半身肥胖型常见于梨形身材，患者上半身非常消瘦，肋骨清晰可见，没有肌肉;但是下半身却粗大，臀部腿部都非常肥胖。",上半身消瘦，下半身肥胖
其他综合,"
	是指上半身由于热刺激引起的汗腺过多分泌的一种疾病，以夜汗常见。是由于交感神经过度兴奋引起汗腺过多分泌的一种疾病。交感神经支配全身的出汗。正常情况下交感神经通过控制出汗散热来调节人体的体温。但是多汗症病人的出汗和面部潮红完全失去了正常的控制。多汗和面部潮红使患者每日处在无奈、焦躁或恐慌之中。
	 ",上半身热刺激性多汗
皮肤科,"
	的发生机理较为复杂。有些色素性是因遗传因素引起；有些则因继发因素所致；有的则原因尚未明确。",色素沉着与色素减退
普外科,"
	由机械力所引起的压迫因素作用于机体，并给机体的组织结构和功能带来一定的影响。",机械性压迫
皮肤科,"
	色素斑，是皮肤黑色素颗粒分布不均匀，导致局部出现比正常肤色深的斑点、斑片。日晒过度、内分泌失调、慢性肝肠胃疾病、化妆品使用不当等，都可能是引起色素斑的诱因。可以使用非手术法和手术方法等来治疗。",色素斑
心理科,"
	“”也可简称“色情”，所谓色情，一般是指引起人的强烈性兴奋的感官刺激，特别是公共场合或公共传媒中出现的对男女性征和性行为挑逗性的暴露或描述。“色情行业”涉及的范围不同国家有不同的标准，有些国家包括卖淫在内，有些国家则不包括。
	需要指出的是，性教育则是合理的色情，所以要加以科学区分，不可以杯弓蛇影、叶公好龙。
	从人类的生物本性来看，人是需要一些性信息的传播作为精神补偿的，社会学家把人称为“多元性感动物”。人的性感水平在灵长目动物中首屈一指，不管春夏秋冬，不管白天黑夜，只要有适当的性刺激，人类都可以进入性兴奋状态，进行性活动。笔者曾将人类性文化分为四个子系统，这就是：
	1、性的实现系统(简称“性实现”)——各民族求爱和结婚的习俗，伴有爱情的人类性行为及其做爱的体位变化，还包括其负面的如卖淫、强奸等人类特有的性活动方式；
	2、性的认识保护系统(简称“性科教”)——性科学、性医学(避孕、人工生殖、性转换等方面的技术)、性教育、中国古代的房中术等；
	3、性的规范系统(简称“性规范”)——性法律、性首先、宗教戒律、性禁忌等；
	4、性的精神补偿系统(简称“性补偿”)——人类接受性规范以后的精神补偿，即内容与性爱密切相关的艺术品，包括人体绘画、雕塑、通俗歌曲、舞蹈及描写性爱生活的文学、影视作品等，其负面就是色情淫秽作品；此外，“性补偿”还包括性服饰与性美容。性爱的要求，是人类强烈的本能，但人类为了后代的聪慧健康，为了社会文明的进步，不能不用各种规范(法律、道德、习俗)对待自己的性行为。一个人从青春期开始，直到生命结束，都会感到一种或强或弱的心理冲突，即性本能与社会规范的冲突。
	于是，性艺术，诸如有男欢女爱内容的通俗歌曲、交谊舞、人体艺术(绘画、雕塑、摄影作品)、爱情诗、言情小说、性爱影视等等，以及性服饰与性美容，就充当了人们心理补偿物的重要角色，起着缓解上述心理冲突的作用——这就是补偿性性文化存在的主要理由。但事情还有它的另一面：这种补偿，即性信息的刺激如果过了头，它又有引起性躁动，特别是引起青少年行为失控，造成社会混乱的一面，所以要加以限制。人们把这类过了头的“性补偿”称作“色情”“淫秽”，并用法律、法规明令加以禁止或控制。",色情行为
内分泌科,"
	症(chromhidrosis)是很少见的疾病，为大汗腺分泌的着色汗液，常由产生色素的细菌引起。小汗腺极少排出色汗，偶然食入某种药物或染料也可引起色汗。中医文献中亦有黄汗、汗血记载。如《诸病源候论》黄汗候记载：“黄汗之为病，身体洪肿，发热，汗出而渴，壮如风水，汗染衣，正黄如蘖汁”。",色汗
